Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,league,season
16/03/2026,Brentford,Wolverhampton Wanderers,2,2,D,1.58,4.25,5.9,soccer_epl,live
17/03/2026,Chelsea,Paris Saint Germain,0,3,A,2.1,4.43,3.01,soccer_uefa_champs_league,live
17/03/2026,Manchester City,Real Madrid,1,2,A,,,6.0,football,live
18/03/2026,Bayern Munich,Atalanta BC,4,1,H,1.35,,,football,live
18/03/2026,SC Braga,Ferencváros TC,4,0,H,1.53,4.6,6.8,soccer_uefa_europa_league,live
18/03/2026,Barcelona,Newcastle United,7,2,H,1.57,5.0,5.65,soccer_uefa_champs_league,live
19/03/2026,Torku Konyaspor,Genclerbirligi SK,1,0,H,1.79,3.59,4.65,soccer_turkey_super_league,live
20/03/2026,Villarreal,Real Sociedad,3,1,H,1.96,,,football,live
20/03/2026,Bournemouth,Manchester United,2,2,D,3.21,3.8,2.18,soccer_epl,live
21/03/2026,Elche CF,Mallorca,2,1,H,2.18,3.34,3.65,soccer_spain_la_liga,live
21/03/2026,Brighton and Hove Albion,Liverpool,2,1,H,3.08,3.67,2.32,soccer_epl,live
21/03/2026,Toulouse,Lorient,1,0,H,2.0,3.15,4.78,soccer_france_ligue_one,live
21/03/2026,Everton,Chelsea,3,0,H,3.56,3.58,2.18,soccer_epl,live
21/03/2026,Leeds United,Brentford,0,0,D,2.52,3.5,2.88,soccer_epl,live
21/03/2026,CA Osasuna,Girona,1,0,H,2.22,,,football,live
21/03/2026,1. FC Köln,Borussia Monchengladbach,3,3,D,2.34,,,football,live
22/03/2026,Newcastle United,Sunderland,1,2,A,1.72,4.0,5.34,soccer_epl,live
22/03/2026,Aston Villa,West Ham United,2,0,H,2.02,,,football,live
